,group_4217,group_304,group_3780,group_5695,group_4104,group_5553,group_3480,group_4209,group_4305,group_2963,group_454,group_2371,group_4299,group_829,group_5897,group_5322,group_6556,group_4415,group_2688,group_3257,group_6685,group_6518,nodH-1,nodF-1,nodE-1,nodJ-1,nodI-1,nodC-1,nodB-1,nodA-1,nolG-1,nolF-1,group_3231,group_5146,murA-1,flaD-1,flaC-1,dlhH-1,group_5979,group_7020,group_5097,sohB-1,group_3325,cfa2-1,group_4229,group_2789,group_3716,group_4809,group_4949,rpsL-1,rpsG-1,group_6916,ald-1,group_2498,group_4172,group_4121,znuA-1,group_6749,group_3906,bmt-1,group_4065,group_5762,group_5207,group_5176,metF-1,group_6363,group_4084,group_3056,group_402,group_3413,carA-1,group_410,group_5228,group_3546,group_2611,group_2791,group_3434,dht-1,group_6687,group_428,group_429,group_4786,asfB-1,asfA-1,grxC-1,group_4363,group_441,ibpA-1,group_3677,bkdAa-1,bkdAb-1,group_4085,group_2537,group_2576,metH-1,group_4936,group_3368,group_479,group_5712,group_5548,cpaB1-1,cpaC1-1,group_4954,pepA2-1,group_232,group_5206,rhlE2-1,group_4187,groES5-1,group_5686,group_850,group_2749,group_842,group_6214,group_5530,group_831,group_6077,group_4259,group_6843,group_730,group_3813,pdh-1,sucB-1,group_5018,group_2561,group_5921,group_6785,group_947,group_5732,gcl-1,hyi-1,group_3077,group_6023,ocd-1,group_6876,group_3622,group_7019,group_511,group_5554,group_654,group_6946,group_6224,group_142,group_5969,group_5986,group_653,group_6901,group_7139,group_5552,group_6158,group_5524,fixK2-1,fixN2-1,nodL-1,nifA-1,fixM-1,fixK1-1,group_4017,group_6792,nuoJ2-1,group_4690,fliM-1,flhA-1,cycF-1,glnA-1,group_6689,group_2569,rspD-1,group_3800,group_4317,group_6945,group_2950,group_448,group_5175,group_2646,amtB-1,group_6269,algI-1,group_789,group_3552,group_4765,group_5846,group_4224,group_5258,glnII-1,group_667,group_6165
1021,-1.1208140696547375,1.1012427435564016,1.2475690066092793,1.109870399671006,1.3756498694484889,1.333679568583232,1.3200776388545108,-1.0019586529408553,-1.0526394847103866,3.732035533152984,3.4684893890518067,2.122129406031811,1.7921533037981623,2.0525268285291194,1.8185846072061185,1.872518796511412,-2.056890769295302,-2.0319828039217382,-2.2122404252353722,-1.1544171647903732,1.1119184568781912,1.541765275920903,4.2495724898480285,3.3672709625731767,3.3639937945633056,2.8790717212115307,3.683025958502475,3.4111685760645183,3.701905617018735,4.1097107043102685,1.10561644489023,1.4329858095893742,0.024789915474794432,0.0018807028529050484,-0.008107099278170224,0.0012841390092576447,-0.001507157505519192,0.0057041899050469394,-0.0006949682727559563,-0.007970221701923167,0.0034420773130300736,0.001126495750494601,0.0026710591460748,0.5452775324586702,0.08859374360158306,0.01112994034055454,-0.00013816919895856718,-0.003997738137210181,0.006688226559614053,-0.0006127655385562452,-0.0006463084560527912,-0.00012641972944584426,-7.105679366094101e-05,0.0023581593162718037,0.003802864289436022,0.0007828353959740518,-0.0007710722014937509,0.4178893243365943,0.9619534988159504,-0.004128758126662773,-0.0013382594239671856,-0.04159321313597472,-0.0001275455934936421,0.004819841153753028,-0.018971209445580905,-0.010315217130016121,-0.0008730758714016895,0.05352723774150382,-0.01993836583271056,0.006015662315493971,-0.001231863698626568,0.0015867038641699425,0.2811064921449969,0.00021087354120492157,-0.007401308728289209,-0.000251217818016683,-0.0002917883001791222,-0.0014927760793950373,0.00048402970507023584,-0.004684768727309214,-0.8145726909229515,-0.8430849529708649,-0.02600511150857409,-0.047249937192135126,0.009738753244335659,-0.003565867002248753,-0.006246459658931686,0.0007312940349304596,-0.0271932186990798,0.011562203542885351,-0.0005320581553303453,0.00029635382807055544,0.0011191051571520533,0.0049446764148928435,-0.015542322623044232,-0.004278908157561376,0.0015201431325644055,0.0049572126201935535,0.0005440305180212594,0.0037374266257918843,-0.01153856265299789,-0.0030673466314442392,-0.0009171939255026377,-0.001878567475945888,0.00478338343326739,0.010225540711011366,-0.4098983881836591,-0.0009732791192482523,0.014840714968474446,0.002550406708205732,0.0018795569874057894,-0.001329182953040066,0.641542759634419,0.07623930355657249,0.027292071300323243,0.0017453733259836825,0.9700356159663828,-0.0017018785682181724,0.7431311701290063,-0.001784378503265511,-0.0024122885201015125,-5.7401159946718625e-05,-0.010118685829769412,-0.14029262415352206,-0.2342395504852433,-0.7460634646935409,-0.17560456167373611,0.00014031119121623586,-0.00476578730470855,0.008572526031889282,0.00032508643969431295,-0.0009866328904811707,-0.0009094586545197316,0.2532943811688071,0.002103160017980082,-0.0005121363570628241,-0.0011509298454634581,8.744877327793418e-05,-0.0005725614012490463,-0.00096168619557711,0.0033115114475013147,0.006615521323009172,-0.007824900748402752,-0.008221148515116536,-0.003765680425061275,0.002483747629659332,-0.0004866922001395952,-0.0036102375000523134,-0.003102829915123129,-0.027515079428265896,-0.02908095168837873,-0.0023854386814207928,-0.031195146524310213,0.05987713904842708,-0.007248490953490672,-0.006423024464256855,-0.002548777522366133,0.0005602130119783117,0.002668192843506863,0.012159013062372022,0.012087416451667608,-0.004016414253128846,0.0014401645771200484,0.08577980138079723,0.004457278896604261,-0.0002451127198819373,-0.0003656659691246381,0.0003373033257726371,0.011084175836702287,0.005155187146888525,-0.002877608127405763,-0.000598062418792593,-0.00163981577607536,0.011840116678327862,-0.0018127255825153945,-0.0010789536000602523,0.6103047328795099,0.0028777123646178964,0.008739544166575724,-0.001117638380177318,-0.003222318677000155,0.002969560986908232,0.02110046549722741,-0.008035329684385506,0.06189451097124519,-0.004671355778255534,0.04889109970709282
Hybrid,-0.3802754668171792,1.2803870907306345,0.3468888825836441,1.1886681890253172,1.8520575892695288,0.3374993707381063,0.4271619889930287,0.03698197819361062,-0.006746854904309625,3.26593874598912,3.5427227467972204,-0.26035309559699216,2.342345838296811,-0.009649458275518757,-0.06893047564998994,0.094044254726345,-3.3091626303112323,-3.608314077222851,-2.8606999472948664,0.10663821598286052,0.5591393695373806,0.4514665752967849,1.8175559974612363,0.35083884366209794,1.2254351269522958,-0.34887014814001976,0.2818440732103542,0.5005791479761217,0.3071098292544597,0.3905602291379162,0.08655093563752528,0.04650895969969966,0.06693084495130477,0.3344094247191777,-0.12753126899499634,0.096501274332607,-0.05907454254953432,0.3317734383565729,0.08773806621328238,-0.023705992189744632,-0.003322067637906869,0.06977323580159775,-0.020221083776912625,0.5818242193089453,0.2716495384469371,0.18274845695429354,-0.27301727698807216,-0.07979713071988406,0.14286094309605316,0.31526112720426624,0.06583081435034423,-0.07932936747510462,0.4092828669755766,0.30680932824427626,-0.06786075189130596,0.077179686430611,0.06982496511628394,0.1983877004983352,-0.20747662085322552,0.4976095601524136,0.05855537172754241,-0.5270488190910373,0.28397347349086005,0.05735193905002825,0.10798135723626327,-0.2301772726648291,0.021698527685577108,-0.0015867517788923009,-0.193443030823773,-0.05054904556547449,0.2364492061208468,0.18901839326815512,0.9394559058717701,0.11565877499552167,0.10166592307899333,-0.10421755049888648,0.16487842701659225,0.030486246837343443,0.2307932402575212,-0.2394919377473224,0.24667143244935466,0.18267203723048334,0.004323492069688963,0.15439958551159855,-0.062139409251369286,-0.3117312027600003,0.07086873099487973,-0.16211971727729166,-0.03792960494114698,0.21508505957685686,0.23825418967864945,-0.2089414336207565,-0.008672804400194354,-0.07006375717563149,0.17189653867464905,0.21871395875039001,-0.06922639540183811,-0.0362347889578342,0.37914755800753003,0.4508708653006062,-0.21045783423573955,0.09252948032816699,-0.1793530928441556,0.03916523485215311,0.02777911015462705,0.0726748508429682,-0.12799253777360892,0.098057956904873,0.2286857548359161,0.06186492611450245,0.09679147411870692,0.07890342551426688,0.08287057147935267,0.2634866930320803,-0.07742542055868579,-0.028831937897782583,0.0853406978683552,0.07225851304142429,-0.02662958247387744,-0.046309517669206685,-0.031065433674159863,0.15461246805548953,-0.0029132772328834987,-0.3715357263078269,0.07869946856610037,-0.17537331977204051,0.2539521951367847,-0.09878002458234253,0.12455478270538466,-0.03992981188250527,0.04064097685533472,-0.07360907058039512,-0.005862103718129872,0.3826254678156473,0.258651564455802,-0.10307834563563743,0.05413817435443991,0.1328381561564209,0.11056965886957727,0.06382816698832372,0.03410217045919668,-0.001864870577880421,-0.050399106238803816,0.02906993104028527,-0.15378840955734804,0.03061248871304777,-0.05970710382756626,-0.6032030793622972,-0.10975710074929752,0.09543382648877707,-0.06639396370869555,-0.5337065919586831,-1.987684581401216,3.632361615183519,-1.05337050289682,-1.7004114754820598,-1.5359811478636165,0.05262454498299336,0.0854542336508575,0.05509769120066337,0.02112107517926305,-2.2299075728301765,-1.6558931544298323,1.3355283612863065,1.1558510888374327,-1.2373056585460127,-1.9624294190332368,-2.421548705192494,-1.3851148177858756,-1.1124046824708695,-3.0350761975953326,-1.5101784686872046,-1.6040622402606317,1.814297211496165,-2.4320740512031143,1.3249757523679937,1.5883176045930183,-1.419856913956691,-1.615647170266514,2.8113608764966225,-2.632541934070735,1.193326466222695,1.1389648169990638,-2.1492897533948616,1.8896681687388923,-1.5376116462502964,-1.0686442007077743
BL225,-1.5776152974138808,0.6117200680710461,0.9062388173387208,1.3755336269488592,1.3567599090125102,1.3912516506361114,1.7130517001435834,-1.3587867913810323,-0.8206638191868196,0.07065598464531199,0.24384883554312656,0.3910071622692817,0.8820359303561807,0.5696604619863227,0.6543731469826415,0.08735814012130569,-2.3713437096595635,-2.1901782134837298,-2.313079065135818,-1.3484456542644014,0.8193896046227068,0.8203000334592367,2.7209701282117527,0.532074563189086,0.8094006423396671,0.5363015519936953,0.4496778567319576,0.4342951310575248,0.26045114670719033,0.5906202810510539,0.15511727412883689,0.071227050148025,1.0952672450834195,1.3772565065818092,-1.0125381463939047,-1.006808941863457,-1.0233903569462954,1.2673188599427323,1.092182111212224,-1.5035260316807242,1.1723102385784905,1.1885928535052122,1.2890311585526693,1.0610441930287382,1.0877805096933362,1.1084974740240472,-1.1445432190330922,-1.0485430959520854,1.1734496687341038,-1.1944660645718694,-1.1503319929963338,1.3335938234777518,1.1897252750627505,1.4905866007276798,1.4378411566135332,1.1131014964820158,-1.1038142366939818,1.4547635574901243,2.2235778418231766,1.7590425500398628,1.0631457152021684,-2.2232674017374783,1.4653518616025734,-1.3439640632306724,2.007317171510969,2.109748016180886,-1.0284727758490524,2.8590401648071224,1.7679450382210369,1.4888709986025768,-1.0480479281725121,1.4244286539123898,1.7306139779749798,2.7721530460053057,2.503826470149656,1.9146816599641048,2.154895623322525,1.0269878510405137,-1.0072293617058434,-1.2126757423625474,-1.0429075805893109,-1.1598627499223202,-1.0851333028787864,-1.1309840782265472,1.2187837586871284,-1.7120881674734223,-1.483134759143261,1.0530438387625272,-1.034469444816778,1.6068401630906426,1.2951027428512003,2.2186043580906207,1.5453342193030288,1.4001210272017957,2.3063203183858207,1.0590987189230268,1.2141098874780565,1.2557536323167664,1.171407103888315,1.4812254227659705,-1.4658320818715718,-1.2027030194787374,-1.7492201648140264,-1.5171285057145067,1.3098626798864332,-1.2538235913986835,-1.0242179949681585,1.1446995506462874,1.05747122841401,1.4429626599939869,1.224325067910934,1.4162477736171415,1.8095609540770083,1.8403648306971072,1.1729509899175876,1.1617501896249527,1.9433845800285765,2.2052242021444237,1.1937375519948767,1.2935539076095948,-1.5905324674027157,2.421830626714357,1.9353685972957921,-1.7689224905140586,-1.7115776979150676,-1.3422317834659492,-1.213878642955614,1.027485022869065,1.2915805333850303,1.5761724121082747,1.2296789068240743,1.8078144351316665,1.8617019114158464,1.1232742152926614,1.518119256500034,-1.1282813531164857,-1.1262638508025271,1.6810541693494134,-1.4998338140804857,-1.8104698230574496,-1.8820950915105108,-1.787518393251658,-2.1568762309818403,-1.9652612620304184,-1.8181848429329084,-1.7963901999487064,-2.1008381083903385,-1.9349390693370432,-1.5516450249141285,-1.756807042720969,-1.5098064901576174,2.4484821852393863,1.1894523142636786,2.5564283145610114,2.5237022425952853,1.1267863579448856,1.0861646713738191,1.0979586415419351,1.7855881936124822,1.0315626078257951,1.0077399035092738,-0.004579533140162517,-0.0950473931663396,0.5468782420304179,-0.2703696264039941,0.327444491950749,0.34168600138089883,-0.04939061005229102,-0.3821165289208308,-0.2508938678389525,-0.05363563124403587,-0.08310332889569225,-0.16694777442192876,0.2609617348054173,-0.07010056450173524,0.019852516705724847,0.3320021522097316,0.12400053331218915,0.2245119924463724,0.010111450228032113,-0.8186369788694694,-0.2001958449225413,0.045676716374681736,-0.19238715974637155,0.09204651403037778,-0.2326847522737503,0.0008252606632193021
