"","grp","categories","q","k","n","m","fraction.pop","fraction.obs","exp.q","log2.fold.enrichment","p.value","adj.p.value"
"1",0,"C",324,5366,5784,325,0.0532001964314945,0.0603801714498695,285.4722540514,0.182643280788532,7.02516262284453e-18,9.97573092443923e-17
"2",0,"D",54,5366,6055,54,0.00883941725323294,0.0100633619083116,47.4323129808479,0.187089185819724,0.000880186366194281,0.00347184622221078
"3",0,"E",483,5366,5619,490,0.080209526927484,0.0900111815132315,430.404321492879,0.166330625652927,3.72496800437964e-20,6.61181820777386e-19
"4",0,"EP",41,5366,6068,41,0.00671140939597315,0.0076407007081625,36.0134228187919,0.187089185819724,0.0048171725273918,0.0180010131286746
"5",0,"F",110,5366,5999,110,0.0180062203306597,0.0204994409243384,96.6213782943199,0.187089185819724,5.56009968298663e-07,3.28972564576709e-06
"6",0,"G",391,5366,5717,392,0.0641676215419872,0.0728661945583302,344.323457194303,0.183404139011868,8.07051323889221e-22,1.91002146653782e-20
"7",0,"H",126,5366,5983,126,0.0206253069242102,0.0234811777860604,110.675396955312,0.187089185819724,6.68461132595475e-08,4.31461276493443e-07
"8",0,"I",138,5366,5968,141,0.0230807006056638,0.0257174804323518,123.851039449992,0.1560622901991,1.39450261265535e-05,7.07212039275211e-05
"9",0,"IQ",87,5366,6022,87,0.0142412833524308,0.0162131941856131,76.4187264691439,0.187089185819724,1.15612963346974e-05,6.31424645971935e-05
"10",0,"J",202,5366,5907,202,0.0330659682435751,0.0376444278792397,177.431985595024,0.187089185819724,2.62306476445635e-12,2.06930664751557e-11
"11",0,"K",527,5366,5576,533,0.087248322147651,0.0982109578829668,468.174496644295,0.170756614697763,1.33887504421354e-23,4.75300640695806e-22
"12",0,"L",253,5366,5854,255,0.0417416925847111,0.0471487141259784,223.98592240956,0.175729323655176,1.4722427265361e-12,1.30661541980079e-11
"13",0,"M",273,5366,5833,276,0.0451792437387461,0.0508758852031308,242.431821902112,0.171321869961407,1.35911156698304e-12,1.30661541980079e-11
"14",0,"N",39,5366,6070,39,0.00638402357177934,0.00726798360044726,34.2566704861679,0.187089185819724,0.00625481070181575,0.0222045779914459
"15",0,"O",147,5366,5956,153,0.0250450155508266,0.0273947074170704,134.391553445736,0.129373687963437,0.000333954147770351,0.00139474967598206
"16",0,"P",325,5366,5778,331,0.054182353904076,0.0605665300037272,290.742511049272,0.160697686928323,1.26199250871351e-12,1.30661541980079e-11
"17",0,"Q",89,5366,6019,90,0.0147323620887216,0.0165859112933284,79.0538549680799,0.170969520456447,0.000106473121925476,0.0004724744785443
"18",0,"S",1146,5366,4943,1166,0.190865935504993,0.213566902720835,1024.18660991979,0.162128441376132,2.05958053044198e-46,1.4623021766138e-44
"19",0,"T",172,5366,5937,172,0.0281551808806679,0.032053671263511,151.080700605664,0.187089185819724,1.46328948389155e-10,1.038935533563e-09
"20",0,"U",72,5366,6037,72,0.0117858896709772,0.0134178158777488,63.2430839744639,0.187089185819724,8.3104982434257e-05,0.00039336358352215
"21",1,"O",6,46,5956,153,0.0250450155508266,0.130434782608696,1.15207071533803,2.38073322705174,0.000915776221188235,0.0119050908754471
"22",1,"OU",2,46,6097,12,0.00196431494516287,0.0434782608695652,0.0903584874774922,4.46819606830208,0.00348963717320203,0.0226826416258132
"23",1,"V",3,46,6051,58,0.00949418890162056,0.0652173913043478,0.436732689474546,2.78014007461682,0.00923365257799418,0.0400124945046414
